x: 10.090349, y: 4.409082, z: 5.636783
x: 10.120349, y: 4.262582, z: 5.613983
x: 10.117149, y: 4.390882, z: 5.734783
x: 10.117149, y: 4.390882, z: 5.734783
x: 10.120349, y: 4.262582, z: 5.613983
x: 10.090349, y: 4.409082, z: 5.636783
x: 10.125949, y: 4.671582, z: 4.217383
x: 10.125949, y: 4.671582, z: 4.217383
x: 10.205849, y: 4.139282, z: 5.596283
x: 10.205849, y: 4.139282, z: 5.596283
x: 10.117749, y: 4.546282, z: 5.659583
x: 10.117749, y: 4.546282, z: 5.659583
x: 10.228149, y: 4.415382, z: 4.178683
x: 10.228149, y: 4.415382, z: 4.178683
x: 10.325049, y: 4.063182, z: 5.587083
x: 10.325049, y: 4.063182, z: 5.587083
x: 10.194249, y: 4.663782, z: 5.680383
x: 10.194249, y: 4.663782, z: 5.680383
x: 10.243649, y: 4.939382, z: 4.263383
x: 10.243649, y: 4.939382, z: 4.263383
x: 10.694049, y: 7.848682, z: -14.386737
x: 10.591849, y: 8.104982, z: -14.348077
x: 10.591849, y: 8.104982, z: -14.348077
x: 10.694049, y: 7.848682, z: -14.386737
x: 10.463749, y: 4.035282, z: 5.585983
x: 10.463749, y: 4.035282, z: 5.585983
x: 10.318749, y: 4.747682, z: 5.696983
x: 10.318749, y: 4.747682, z: 5.696983
x: 10.709449, y: 8.372682, z: -14.302087
x: 10.630849, y: 8.392682, z: -15.904283
x: 10.630849, y: 8.392682, z: -15.904283
x: 10.709449, y: 8.372682, z: -14.302087
x: 10.737549, y: 8.123582, z: -15.904283
x: 10.737549, y: 8.123582, z: -15.904283
x: 10.499349, y: 4.297982, z: 4.166583
x: 11.002949, y: 8.009682, z: -15.904283
x: 10.499349, y: 4.297982, z: 4.166583
x: 11.002949, y: 8.009682, z: -15.904283
x: 10.461149, y: 4.135482, z: 5.732583
x: 10.461149, y: 4.135482, z: 5.732583
x: 10.466649, y: 4.777082, z: 5.705383
x: 10.466649, y: 4.777082, z: 5.705383
x: 10.968149, y: 8.472682, z: -14.279557
x: 10.502349, y: 5.039382, z: 4.285883
x: 10.502349, y: 5.039382, z: 4.285883
x: 10.968149, y: 8.472682, z: -14.279557
x: 10.741749, y: 8.661082, z: -15.904283
x: 10.741749, y: 8.661082, z: -15.904283
x: 11.223949, y: 7.831382, z: -14.376327
x: 10.758149, y: 4.398082, z: 4.189083
x: 10.758149, y: 4.398082, z: 4.189083
x: 11.223949, y: 7.831382, z: -14.376327
x: 10.611649, y: 4.064682, z: 5.594383
x: 10.611649, y: 4.064682, z: 5.594383
x: 10.461149, y: 4.135482, z: 5.732583
x: 10.289149, y: 4.204682, z: 5.740083
x: 10.117149, y: 4.390882, z: 5.734783
x: 10.117149, y: 4.390882, z: 5.734783
x: 10.289149, y: 4.204682, z: 5.740083
x: 10.461149, y: 4.135482, z: 5.732583
x: 10.605549, y: 4.749282, z: 5.704383
x: 10.605549, y: 4.749282, z: 5.704383
x: 10.773549, y: 4.921982, z: 4.273783
x: 11.239449, y: 8.355282, z: -14.291677
x: 10.773549, y: 4.921982, z: 4.273783
x: 11.239449, y: 8.355282, z: -14.291677
x: 11.270249, y: 8.121782, z: -15.904283
x: 11.270249, y: 8.121782, z: -15.904283
x: 10.875749, y: 4.665782, z: 4.235083
x: 11.341549, y: 8.099082, z: -14.330337
x: 11.341549, y: 8.099082, z: -14.330337
x: 10.875749, y: 4.665782, z: 4.235083
x: 10.642749, y: 4.210882, z: 5.749983
x: 10.642749, y: 4.210882, z: 5.749983
x: 10.289149, y: 4.204682, z: 5.740083
x: 10.281349, y: 4.553782, z: 5.799383
x: 10.212049, y: 4.384282, z: 5.768783
x: 10.462849, y: 4.629182, z: 5.816783
x: 10.634949, y: 4.559982, z: 5.809283
x: 10.712049, y: 4.380382, z: 5.780583
x: 10.712049, y: 4.380382, z: 5.780583
x: 10.634949, y: 4.559982, z: 5.809283
x: 10.462849, y: 4.629182, z: 5.816783
x: 10.289149, y: 4.204682, z: 5.740083
x: 10.281349, y: 4.553782, z: 5.799383
x: 10.212049, y: 4.384282, z: 5.768783
x: 10.117149, y: 4.390882, z: 5.734783
x: 10.117149, y: 4.390882, z: 5.734783
x: 11.381049, y: 8.390182, z: -15.904283
x: 11.381049, y: 8.390182, z: -15.904283
x: 11.274449, y: 8.659282, z: -15.904283
x: 11.274449, y: 8.659282, z: -15.904283
x: 11.008949, y: 8.773182, z: -15.904283
x: 11.008949, y: 8.773182, z: -15.904283
x: 10.736249, y: 4.148582, z: 5.610983
x: 10.736249, y: 4.148582, z: 5.610983
x: 10.812749, y: 4.266082, z: 5.631883
x: 10.812749, y: 4.266082, z: 5.631883
x: 10.810049, y: 4.549682, z: 5.677383
x: 10.810049, y: 4.549682, z: 5.677383
x: 10.281349, y: 4.553782, z: 5.799383
x: 10.281349, y: 4.553782, z: 5.799383
x: 10.724649, y: 4.673082, z: 5.695083
x: 10.724649, y: 4.673082, z: 5.695083
x: 10.840349, y: 4.403282, z: 5.654583
x: 10.840349, y: 4.403282, z: 5.654583
x: -10.108661, y: 4.546282, z: 5.659583
x: -10.108071, y: 4.390882, z: 5.734783
x: -10.081331, y: 4.409082, z: 5.636783
x: -10.081331, y: 4.409082, z: 5.636783
x: -10.108071, y: 4.390882, z: 5.734783
x: -10.108661, y: 4.546282, z: 5.659583
x: -10.116941, y: 4.671582, z: 4.217383
x: -10.116941, y: 4.671582, z: 4.217383
x: -10.185241, y: 4.663782, z: 5.680383
x: -10.185241, y: 4.663782, z: 5.680383
x: -10.111271, y: 4.262582, z: 5.613983
x: -10.111271, y: 4.262582, z: 5.613983
x: -10.234581, y: 4.939382, z: 4.263383
x: -10.234581, y: 4.939382, z: 4.263383
x: -10.309751, y: 4.747682, z: 5.696983
x: -10.309751, y: 4.747682, z: 5.696983
x: -10.196841, y: 4.139282, z: 5.596283
x: -10.196841, y: 4.139282, z: 5.596283
x: -10.219131, y: 4.415382, z: 4.178683
x: -10.219131, y: 4.415382, z: 4.178683
x: -10.582787, y: 8.104982, z: -14.348077
x: -10.700421, y: 8.372682, z: -14.302087
x: -10.621835, y: 8.392682, z: -15.904283
x: -10.621835, y: 8.392682, z: -15.904283
x: -10.582787, y: 8.104982, z: -14.348077
x: -10.700421, y: 8.372682, z: -14.302087
x: -10.457621, y: 4.777082, z: 5.705383
x: -10.457621, y: 4.777082, z: 5.705383
x: -10.315971, y: 4.063182, z: 5.587083
x: -10.315971, y: 4.063182, z: 5.587083
x: -10.684975, y: 7.848682, z: -14.386737
x: -10.684975, y: 7.848682, z: -14.386737
x: -10.959153, y: 8.472682, z: -14.279557
x: -10.493311, y: 5.039382, z: 4.285883
x: -10.493311, y: 5.039382, z: 4.285883
x: -10.959153, y: 8.472682, z: -14.279557
x: -10.728473, y: 8.123582, z: -15.904283
x: -10.728473, y: 8.123582, z: -15.904283
x: -10.732671, y: 8.661082, z: -15.904283
x: -10.732671, y: 8.661082, z: -15.904283
x: -10.596503, y: 4.749282, z: 5.704383
x: -10.596503, y: 4.749282, z: 5.704383
x: -10.452061, y: 4.135482, z: 5.732583
x: -10.452061, y: 4.135482, z: 5.732583
x: -10.490351, y: 4.297982, z: 4.166583
x: -10.993962, y: 8.009682, z: -15.904283
x: -10.490351, y: 4.297982, z: 4.166583
x: -10.993962, y: 8.009682, z: -15.904283
x: -10.764524, y: 4.921982, z: 4.273783
x: -11.230366, y: 8.355282, z: -14.291677
x: -10.764524, y: 4.921982, z: 4.273783
x: -11.230366, y: 8.355282, z: -14.291677
x: -10.453861, y: 4.629182, z: 5.816783
x: -10.453861, y: 4.629182, z: 5.816783
x: -10.454761, y: 4.035282, z: 5.585983
x: -10.454761, y: 4.035282, z: 5.585983
x: -10.108071, y: 4.390882, z: 5.734783
x: -10.280101, y: 4.204682, z: 5.740083
x: -10.452061, y: 4.135482, z: 5.732583
x: -10.452061, y: 4.135482, z: 5.732583
x: -10.280101, y: 4.204682, z: 5.740083
x: -10.108071, y: 4.390882, z: 5.734783
x: -11.21492, y: 7.831382, z: -14.376327
x: -10.749078, y: 4.398082, z: 4.189083
x: -10.749078, y: 4.398082, z: 4.189083
x: -11.21492, y: 7.831382, z: -14.376327
x: -11.332554, y: 8.099082, z: -14.330337
x: -10.866712, y: 4.665782, z: 4.235083
x: -11.372048, y: 8.390182, z: -15.904283
x: -11.372048, y: 8.390182, z: -15.904283
x: -11.332554, y: 8.099082, z: -14.330337
x: -10.866712, y: 4.665782, z: 4.235083
x: -11.26541, y: 8.659282, z: -15.904283
x: -11.26541, y: 8.659282, z: -15.904283
x: -10.999921, y: 8.773182, z: -15.904283
x: -10.999921, y: 8.773182, z: -15.904283
x: -10.625882, y: 4.559982, z: 5.809283
x: -10.625882, y: 4.559982, z: 5.809283
x: -10.272291, y: 4.553782, z: 5.799383
x: -10.272291, y: 4.553782, z: 5.799383
x: -10.602652, y: 4.064682, z: 5.594383
x: -10.602652, y: 4.064682, z: 5.594383
x: -10.633668, y: 4.210882, z: 5.749983
x: -10.703047, y: 4.380382, z: 5.780583
x: -10.272291, y: 4.553782, z: 5.799383
x: -10.280101, y: 4.204682, z: 5.740083
x: -10.203051, y: 4.384282, z: 5.768783
x: -10.203051, y: 4.384282, z: 5.768783
x: -10.280101, y: 4.204682, z: 5.740083
x: -10.272291, y: 4.553782, z: 5.799383
x: -10.633668, y: 4.210882, z: 5.749983
x: -10.703047, y: 4.380382, z: 5.780583
x: -10.108071, y: 4.390882, z: 5.734783
x: -10.108071, y: 4.390882, z: 5.734783
x: -11.261212, y: 8.121782, z: -15.904283
x: -11.261212, y: 8.121782, z: -15.904283
x: -10.801011, y: 4.549682, z: 5.677383
x: -10.801011, y: 4.549682, z: 5.677383
x: -10.715636, y: 4.673082, z: 5.695083
x: -10.715636, y: 4.673082, z: 5.695083
x: -10.803727, y: 4.266082, z: 5.631883
x: -10.803727, y: 4.266082, z: 5.631883
x: -10.727191, y: 4.148582, z: 5.610983
x: -10.727191, y: 4.148582, z: 5.610983
x: -10.831321, y: 4.403282, z: 5.654583
x: -10.831321, y: 4.403282, z: 5.654583
x: -8.249881, y: -6.714618, z: 2.809683
x: -9.160881, y: -6.606478, z: 3.143283
x: -8.720711, y: -8.096168, z: 2.889283
x: -8.720711, y: -8.096168, z: 2.889283
x: -9.160881, y: -6.606478, z: 3.143283
x: -8.249881, y: -6.714618, z: 2.809683
x: -8.272681, y: -3.016818, z: 3.079483
x: -8.272681, y: -3.016818, z: 3.079483
x: -9.566381, y: -7.702868, z: 3.209083
x: -9.566381, y: -7.702868, z: 3.209083
x: -7.848341, y: -8.333528, z: 2.598183
x: -7.848341, y: -8.333528, z: 2.598183
x: -7.241241, y: -6.767518, z: 2.482683
x: -7.241241, y: -6.767518, z: 2.482683
x: -10.004671, y: -3.207308, z: 3.914383
x: -10.004671, y: -3.207308, z: 3.914383
x: -10.041161, y: -6.376568, z: 3.511683
x: -10.041161, y: -6.376568, z: 3.511683
x: -8.683931, y: -8.808088, z: 2.833283
x: -8.683931, y: -8.808088, z: 2.833283
x: -7.917331, y: -9.410558, z: 2.556483
x: -7.917331, y: -9.410558, z: 2.556483
x: -6.237711, y: -2.740168, z: 2.285483
x: -6.237711, y: -2.740168, z: 2.285483
x: -8.274501, y: 0.198382, z: 3.314583
x: -8.274501, y: 0.198382, z: 3.314583
x: -7.124081, y: -9.814158, z: 2.303283
x: -7.124081, y: -9.814158, z: 2.303283
x: -6.886661, y: -8.500568, z: 2.319883
x: -6.886661, y: -8.500568, z: 2.319883
x: -6.260521, y: 0.801682, z: 2.353783
x: -6.260521, y: 0.801682, z: 2.353783
x: -6.211841, y: -6.806578, z: 2.183383
x: -6.211841, y: -6.806578, z: 2.183383
x: -9.948541, y: -0.459718, z: 4.347483
x: -9.948541, y: -0.459718, z: 4.347483
x: -4.251821, y: 1.121882, z: 1.613583
x: -4.251821, y: 1.121882, z: 1.613583
x: -5.239091, y: -6.857358, z: 1.928883
x: -5.239091, y: -6.857358, z: 1.928883
x: -9.134691, y: 3.320582, z: 4.147883
x: -9.134691, y: 3.320582, z: 4.147883
x: -7.469291, y: 4.463582, z: 2.919083
x: -7.469291, y: 4.463582, z: 2.919083
x: -6.251231, y: -10.128976, z: 2.069483
x: -6.251231, y: -10.128976, z: 2.069483
x: -5.908091, y: -8.632058, z: 2.072183
x: -5.908091, y: -8.632058, z: 2.072183
x: -5.588141, y: 5.206282, z: 1.925983
x: -5.588141, y: 5.206282, z: 1.925983
x: -4.236181, y: -2.619488, z: 1.649883
x: -4.236181, y: -2.619488, z: 1.649883
x: -8.333581, y: 3.909382, z: 3.501883
x: -8.333581, y: 3.909382, z: 3.501883
x: -9.893931, y: 2.734382, z: 4.684783
x: -9.893931, y: 2.734382, z: 4.684783
x: -6.547771, y: 4.901482, z: 2.401983
x: -6.547771, y: 4.901482, z: 2.401983
x: -4.501011, y: 5.448382, z: 1.535183
x: -4.501011, y: 5.448382, z: 1.535183
x: -2.271791, y: 1.305182, z: 1.263883
x: -2.271791, y: 1.305182, z: 1.263883
x: -4.984181, y: -8.752598, z: 1.864783
x: -4.984181, y: -8.752598, z: 1.864783
x: -4.221731, y: -6.910428, z: 1.705683
x: -4.221731, y: -6.910428, z: 1.705683
x: -8.287471, y: 5.470382, z: 4.038083
x: -8.287471, y: 5.470382, z: 4.038083
x: -9.796911, y: 4.086282, z: 5.163283
x: -9.064621, y: 4.717882, z: 4.672883
x: -9.064621, y: 4.717882, z: 4.672883
x: -9.796911, y: 4.086282, z: 5.163283
x: -7.017811, y: 6.438882, z: 3.209183
x: -7.017811, y: 6.438882, z: 3.209183
x: -7.870191, y: 5.837882, z: 3.733783
x: -7.870191, y: 5.837882, z: 3.733783
x: -5.364731, y: -10.381345, z: 1.869883
x: -5.364731, y: -10.381345, z: 1.869883
x: -3.425221, y: 5.629082, z: 1.306683
x: -3.425221, y: 5.629082, z: 1.306683
x: -5.075001, y: 7.201882, z: 2.248283
x: -5.075001, y: 7.201882, z: 2.248283
x: -6.094981, y: 6.876182, z: 2.705683
x: -6.094981, y: 6.876182, z: 2.705683
x: -2.269631, y: -2.555028, z: 1.273883
x: -2.269631, y: -2.555028, z: 1.273883
x: -8.911351, y: 5.792382, z: 5.642283
x: -8.911351, y: 5.792382, z: 5.642283
x: -6.553341, y: 6.681982, z: 2.950183
x: -6.553341, y: 6.681982, z: 2.950183
x: -7.451881, y: 6.159082, z: 3.463983
x: -7.451881, y: 6.159082, z: 3.463983
x: -3.977211, y: 7.456382, z: 1.931783
x: -3.977211, y: 7.456382, z: 1.931783
x: -4.512251, y: 7.341282, z: 2.064183
x: -4.512251, y: 7.341282, z: 2.064183
x: -5.602411, y: 7.048182, z: 2.466883
x: -5.602411, y: 7.048182, z: 2.466883
x: -2.325241, y: 5.766782, z: 1.154783
x: -2.325241, y: 5.766782, z: 1.154783
x: 0.010249, y: 1.373182, z: 1.111583
x: 0.010249, y: 1.373182, z: 1.111583
x: -4.528111, y: -10.594077, z: 1.706783
x: -4.528111, y: -10.594077, z: 1.706783
x: -4.017481, y: -8.863708, z: 1.683283
x: -4.017481, y: -8.863708, z: 1.683283
x: -2.262651, y: -6.979658, z: 1.417883
x: -2.262651, y: -6.979658, z: 1.417883
x: -8.229441, y: 6.115082, z: 4.504983
x: -8.229441, y: 6.115082, z: 4.504983
x: -7.812091, y: 6.509382, z: 4.216183
x: -7.812091, y: 6.509382, z: 4.216183
x: -9.610191, y: 5.189382, z: 6.043783
x: -9.610191, y: 5.189382, z: 6.043783
x: -6.490071, y: 7.404282, z: 3.453483
x: -6.490071, y: 7.404282, z: 3.453483
x: -6.955631, y: 7.147382, z: 3.707883
x: -6.955631, y: 7.147382, z: 3.707883
x: -7.391911, y: 6.851282, z: 3.956383
x: -7.391911, y: 6.851282, z: 3.956383
x: -3.426781, y: 7.559982, z: 1.825583
x: -3.426781, y: 7.559982, z: 1.825583
x: -4.463251, y: 8.102582, z: 2.575583
x: -4.463251, y: 8.102582, z: 2.575583
x: -5.019581, y: 7.954682, z: 2.759583
x: -5.019581, y: 7.954682, z: 2.759583
x: -5.542521, y: 7.791782, z: 2.976583
x: -5.542521, y: 7.791782, z: 2.976583
x: -6.032491, y: 7.609682, z: 3.212583
x: -6.032491, y: 7.609682, z: 3.212583
x: -1.143551, y: 5.859682, z: 1.031283
x: -1.143551, y: 5.859682, z: 1.031283
x: -2.870681, y: 7.650582, z: 1.739183
x: -2.870681, y: 7.650582, z: 1.739183
x: 0.010249, y: -2.534418, z: 1.124683
x: 0.010249, y: -2.534418, z: 1.124683
x: -8.367651, y: 7.340282, z: 8.812983
x: -8.367651, y: 7.340282, z: 8.812983
x: -8.146361, y: 6.607982, z: 5.119383
x: -8.146361, y: 6.607982, z: 5.119383
x: -3.392801, y: 8.334582, z: 2.334283
x: -3.392801, y: 8.334582, z: 2.334283
x: -3.935401, y: 8.224682, z: 2.442183
x: -3.935401, y: 8.224682, z: 2.442183
x: -1.721621, y: 7.792982, z: 1.594683
x: -1.721621, y: 7.792982, z: 1.594683
x: -2.318681, y: 7.726782, z: 1.665883
x: -2.318681, y: 7.726782, z: 1.665883
x: 0.010249, y: 5.888282, z: 0.981883
x: 0.010249, y: 5.888282, z: 0.981883
x: 2.287949, y: 1.292682, z: 1.273483
x: 2.287949, y: 1.292682, z: 1.273483
x: -3.651781, y: -10.782192, z: 1.564783
x: -3.651781, y: -10.782192, z: 1.564783
x: -1.958011, y: -11.026875, z: 1.377383
x: -1.958011, y: -11.026875, z: 1.377383
x: 0.010249, y: -7.011998, z: 1.303283
x: 0.010249, y: -7.011998, z: 1.303283
x: -7.724381, y: 7.009782, z: 4.856383
x: -7.724381, y: 7.009782, z: 4.856383
x: -7.296591, y: 7.358582, z: 4.612883
x: -7.296591, y: 7.358582, z: 4.612883
x: -8.969511, y: 6.893682, z: 8.804183
x: -8.969511, y: 6.893682, z: 8.804183
x: -7.899791, y: 7.302882, z: 6.855283
x: -7.899791, y: 7.302882, z: 6.855283
x: -6.382121, y: 7.923482, z: 4.129083
x: -6.382121, y: 7.923482, z: 4.129083
x: -5.924061, y: 8.133082, z: 3.895783
x: -5.924061, y: 8.133082, z: 3.895783
x: -6.852601, y: 7.661082, z: 4.374983
x: -6.852601, y: 7.661082, z: 4.374983
x: -2.844501, y: 8.430682, z: 2.245983
x: -2.844501, y: 8.430682, z: 2.245983
x: -4.377561, y: 8.636082, z: 3.271783
x: -4.377561, y: 8.636082, z: 3.271783
x: -3.863171, y: 8.760682, z: 3.137383
x: -3.863171, y: 8.760682, z: 3.137383
x: -4.922221, y: 8.485182, z: 3.454083
x: -4.922221, y: 8.485182, z: 3.454083
x: -5.437591, y: 8.318982, z: 3.666383
x: -5.437591, y: 8.318982, z: 3.666383
x: -1.137251, y: 7.839882, z: 1.537183
x: -1.137251, y: 7.839882, z: 1.537183
x: -2.299551, y: 8.511582, z: 2.171283
x: -2.299551, y: 8.511582, z: 2.171283
x: 1.163649, y: 5.852582, z: 1.037083
x: 1.163649, y: 5.852582, z: 1.037083
x: -0.561351, y: 7.867282, z: 1.498983
x: -0.561351, y: 7.867282, z: 1.498983
x: 2.283749, y: -2.567048, z: 1.281583
x: 2.283749, y: -2.567048, z: 1.281583
x: -8.090451, y: 7.993882, z: 10.318483
x: -8.090451, y: 7.993882, z: 10.318483
x: -7.640771, y: 7.897582, z: 8.665783
x: -7.640771, y: 7.897582, z: 8.665783
x: -3.335311, y: 8.872882, z: 3.027183
x: -3.335311, y: 8.872882, z: 3.027183
x: -2.801551, y: 8.971082, z: 2.936083
x: -2.801551, y: 8.971082, z: 2.936083
x: -1.129551, y: 8.631782, z: 2.041483
x: -1.129551, y: 8.631782, z: 2.041483
x: -1.708841, y: 8.581882, z: 2.099183
x: -1.708841, y: 8.581882, z: 2.099183
x: 0.581949, y: 7.863882, z: 1.501383
x: 0.581949, y: 7.863882, z: 1.501383
x: 0.010249, y: 7.875382, z: 1.485883
x: 0.010249, y: 7.875382, z: 1.485883
x: 2.343949, y: 5.752782, z: 1.165783
x: 2.343949, y: 5.752782, z: 1.165783
x: 4.237849, y: 1.101082, z: 1.621283
x: 4.237849, y: 1.101082, z: 1.621283
x: 0.009949, y: -11.126278, z: 1.301383
x: 0.009949, y: -11.126278, z: 1.301383
x: 2.273149, y: -6.990098, z: 1.421883
x: 2.273149, y: -6.990098, z: 1.421883
x: -7.011771, y: 7.986982, z: 6.479883
x: -7.011771, y: 7.986982, z: 6.479883
x: -8.640771, y: 7.622082, z: 10.102983
x: -8.640771, y: 7.622082, z: 10.102983
x: -7.402631, y: 8.464882, z: 10.313483
x: -7.402631, y: 8.464882, z: 10.313483
x: -6.754571, y: 8.478082, z: 8.414783
x: -6.754571, y: 8.478082, z: 8.414783
x: -6.059551, y: 8.521882, z: 6.064683
x: -6.059551, y: 8.521882, z: 6.064683
x: -5.124381, y: 8.892782, z: 5.656283
x: -5.124381, y: 8.892782, z: 5.656283
x: -2.269471, y: 9.053782, z: 2.859083
x: -2.269471, y: 9.053782, z: 2.859083
x: -4.122101, y: 9.187582, z: 5.291983
x: -4.122101, y: 9.187582, z: 5.291983
x: -3.164101, y: 9.408482, z: 5.045383
x: -3.164101, y: 9.408482, z: 5.045383
x: -0.557751, y: 8.661082, z: 2.003383
x: -0.557751, y: 8.661082, z: 2.003383
x: -1.689721, y: 9.125682, z: 2.785983
x: -1.689721, y: 9.125682, z: 2.785983
x: 1.157749, y: 7.833082, z: 1.541883
x: 1.157749, y: 7.833082, z: 1.541883
x: 0.010249, y: 8.669782, z: 1.990183
x: 0.010249, y: 8.669782, z: 1.990183
x: 3.427849, y: 5.611282, z: 1.318683
x: 3.427849, y: 5.611282, z: 1.318683
x: 1.741949, y: 7.782982, z: 1.601583
x: 1.741949, y: 7.782982, z: 1.601583
x: 4.219449, y: -2.642058, z: 1.654683
x: 4.219449, y: -2.642058, z: 1.654683
x: -7.801581, y: 8.584282, z: 11.773483
x: -7.801581, y: 8.584282, z: 11.773483
x: -7.155301, y: 9.025482, z: 11.944983
x: -7.155301, y: 9.025482, z: 11.944983
x: -2.179971, y: 9.577682, z: 4.867883
x: -2.179971, y: 9.577682, z: 4.867883
x: -1.118451, y: 9.176782, z: 2.728383
x: -1.118451, y: 9.176782, z: 2.728383
x: -0.552751, y: 9.206782, z: 2.690883
x: -0.552751, y: 9.206782, z: 2.690883
x: 1.150149, y: 8.625382, z: 2.045483
x: 1.150149, y: 8.625382, z: 2.045483
x: 0.578349, y: 8.657882, z: 2.005383
x: 0.578349, y: 8.657882, z: 2.005383
x: 0.010249, y: 9.215882, z: 2.677983
x: 0.010249, y: 9.215882, z: 2.677983
x: 2.882949, y: 7.635582, z: 1.748283
x: 2.882949, y: 7.635582, z: 1.748283
x: 2.338649, y: 7.713482, z: 1.674683
x: 2.338649, y: 7.713482, z: 1.674683
x: 4.489049, y: 5.428082, z: 1.544283
x: 4.489049, y: 5.428082, z: 1.544283
x: 6.245349, y: 0.770982, z: 2.357583
x: 6.245349, y: 0.770982, z: 2.357583
x: 1.962949, y: -11.028014, z: 1.376483
x: 1.962949, y: -11.028014, z: 1.376483
x: 4.197249, y: -6.933138, z: 1.705283
x: 4.197249, y: -6.933138, z: 1.705283
x: -5.801721, y: 8.953582, z: 8.089983
x: -5.801721, y: 8.953582, z: 8.089983
x: -8.298521, y: 8.305882, z: 11.406283
x: -8.298521, y: 8.305882, z: 11.406283
x: -6.337021, y: 9.482782, z: 11.958083
x: -6.337021, y: 9.482782, z: 11.958083
x: -4.886851, y: 9.274182, z: 7.750883
x: -4.886851, y: 9.274182, z: 7.750883
x: -3.928871, y: 9.523582, z: 7.436483
x: -3.928871, y: 9.523582, z: 7.436483
x: -3.027281, y: 9.711382, z: 7.215483
x: -3.027281, y: 9.711382, z: 7.215483
x: -1.085451, y: 9.692782, z: 4.738983
x: -1.085451, y: 9.692782, z: 4.738983
x: 1.729549, y: 8.572382, z: 2.104983
x: 1.729549, y: 8.572382, z: 2.104983
x: 0.573349, y: 9.203882, z: 2.692583
x: 0.573349, y: 9.203882, z: 2.692583
x: 0.010149, y: 9.729682, z: 4.692783
x: 0.010149, y: 9.729682, z: 4.692783
x: 3.431149, y: 7.543782, z: 1.834383
x: 3.431149, y: 7.543782, z: 1.834383
x: 2.320149, y: 8.499082, z: 2.178583
x: 2.320149, y: 8.499082, z: 2.178583
x: 5.577449, y: 5.181282, z: 1.932683
x: 5.577449, y: 5.181282, z: 1.932683
x: 3.974049, y: 7.439382, z: 1.939183
x: 3.974049, y: 7.439382, z: 1.939183
x: 6.219749, y: -2.775168, z: 2.287383
x: 6.219749, y: -2.775168, z: 2.287383
x: 3.987149, y: -8.881488, z: 1.678983
x: 3.987149, y: -8.881488, z: 1.678983
x: 5.211049, y: -6.887658, z: 1.926283
x: 5.211049, y: -6.887658, z: 1.926283
x: -7.495831, y: 9.281682, z: 13.179483
x: -7.495831, y: 9.281682, z: 13.179483
x: -6.893281, y: 9.694282, z: 13.525983
x: -6.893281, y: 9.694282, z: 13.525983
x: -6.113011, y: 10.096982, z: 13.683183
x: -6.113011, y: 10.096982, z: 13.683183
x: -5.442511, y: 9.837182, z: 11.827483
x: -5.442511, y: 9.837182, z: 11.827483
x: -2.099071, y: 9.855882, z: 7.053883
